LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
G-7,HUR,MEN,PC_LF,Q,1995-Q2,6.354312,E
G-7,HUR,MEN,PC_LF,Q,1995-Q3,6.403702,E
G-7,HUR,MEN,PC_LF,Q,1995-Q4,6.45295,E
G-7,HUR,MEN,PC_LF,Q,1996-Q1,6.508365,E
G-7,HUR,MEN,PC_LF,Q,1996-Q2,6.545686,E
G-7,HUR,MEN,PC_LF,Q,1996-Q3,6.418698,E
G-7,HUR,MEN,PC_LF,Q,1996-Q4,6.403637,E
G-7,HUR,MEN,PC_LF,Q,1997-Q1,6.365454,E
G-7,HUR,MEN,PC_LF,Q,1997-Q2,6.232134,E
G-7,HUR,MEN,PC_LF,Q,1997-Q3,6.145523,E
G-7,HUR,MEN,PC_LF,Q,1997-Q4,6.051558,E
G-7,HUR,MEN,PC_LF,Q,1998-Q1,6.022845,E
G-7,HUR,MEN,PC_LF,Q,1998-Q2,6.013365,E
G-7,HUR,MEN,PC_LF,Q,1998-Q3,6.112723,E
G-7,HUR,MEN,PC_LF,Q,1998-Q4,6.046405,E
G-7,HUR,MEN,PC_LF,Q,1999-Q1,5.965787,E
G-7,HUR,MEN,PC_LF,Q,1999-Q2,5.931162,E
G-7,HUR,MEN,PC_LF,Q,1999-Q3,5.823895,E
G-7,HUR,MEN,PC_LF,Q,1999-Q4,5.676577,E
G-7,HUR,MEN,PC_LF,Q,2000-Q1,5.599938,E
G-7,HUR,MEN,PC_LF,Q,2000-Q2,5.395424,E
G-7,HUR,MEN,PC_LF,Q,2000-Q3,5.357293,E
G-7,HUR,MEN,PC_LF,Q,2000-Q4,5.350187,E
G-7,HUR,MEN,PC_LF,Q,2001-Q1,5.450956,E
G-7,HUR,MEN,PC_LF,Q,2001-Q2,5.604105,E
G-7,HUR,MEN,PC_LF,Q,2001-Q3,5.821529,E
G-7,HUR,MEN,PC_LF,Q,2001-Q4,6.281342,E
G-7,HUR,MEN,PC_LF,Q,2002-Q1,6.338048,E
G-7,HUR,MEN,PC_LF,Q,2002-Q2,6.423249,E
G-7,HUR,MEN,PC_LF,Q,2002-Q3,6.472394,E
G-7,HUR,MEN,PC_LF,Q,2002-Q4,6.54753,E
G-7,HUR,MEN,PC_LF,Q,2003-Q1,6.613792,E
G-7,HUR,MEN,PC_LF,Q,2003-Q2,6.823449,E
G-7,HUR,MEN,PC_LF,Q,2003-Q3,6.728307,E
G-7,HUR,MEN,PC_LF,Q,2003-Q4,6.529102,E
G-7,HUR,MEN,PC_LF,Q,2004-Q1,6.378054,E
G-7,HUR,MEN,PC_LF,Q,2004-Q2,6.338091,E
G-7,HUR,MEN,PC_LF,Q,2004-Q3,6.29773,E
G-7,HUR,MEN,PC_LF,Q,2004-Q4,6.312772,E
G-7,HUR,MEN,PC_LF,Q,2005-Q1,6.251185,E
G-7,HUR,MEN,PC_LF,Q,2005-Q2,6.121587,E
G-7,HUR,MEN,PC_LF,Q,2005-Q3,6.029108,E
G-7,HUR,MEN,PC_LF,Q,2005-Q4,5.970477,E
G-7,HUR,MEN,PC_LF,Q,2006-Q1,5.843289,E
G-7,HUR,MEN,PC_LF,Q,2006-Q2,5.747813,E
G-7,HUR,MEN,PC_LF,Q,2006-Q3,5.661382,E
G-7,HUR,MEN,PC_LF,Q,2006-Q4,5.53495,E
G-7,HUR,MEN,PC_LF,Q,2007-Q1,5.494213,E
G-7,HUR,MEN,PC_LF,Q,2007-Q2,5.319804,E
G-7,HUR,MEN,PC_LF,Q,2007-Q3,5.316247,E
G-7,HUR,MEN,PC_LF,Q,2007-Q4,5.34833,E
G-7,HUR,MEN,PC_LF,Q,2008-Q1,5.423785,E
G-7,HUR,MEN,PC_LF,Q,2008-Q2,5.604654,E
G-7,HUR,MEN,PC_LF,Q,2008-Q3,5.985586,E
G-7,HUR,MEN,PC_LF,Q,2008-Q4,6.588864,E
